Categoría: Todas las categorías

Mes,Precios: (Colombia)
2004-01,60
2004-02,48
2004-03,69
2004-04,47
2004-05,50
2004-06,51
2004-07,47
2004-08,49
2004-09,45
2004-10,48
2004-11,49
2004-12,48
2005-01,46
2005-02,51
2005-03,41
2005-04,53
2005-05,48
2005-06,44
2005-07,44
2005-08,45
2005-09,47
2005-10,44
2005-11,50
2005-12,46
2006-01,47
2006-02,45
2006-03,47
2006-04,45
2006-05,45
2006-06,42
2006-07,42
2006-08,42
2006-09,41
2006-10,41
2006-11,42
2006-12,38
2007-01,43
2007-02,40
2007-03,36
2007-04,43
2007-05,42
2007-06,39
2007-07,35
2007-08,34
2007-09,36
2007-10,35
2007-11,39
2007-12,37
2008-01,37
2008-02,39
2008-03,37
2008-04,39
2008-05,37
2008-06,38
2008-07,35
2008-08,38
2008-09,35
2008-10,38
2008-11,40
2008-12,36
2009-01,40
2009-02,38
2009-03,39
2009-04,41
2009-05,41
2009-06,38
2009-07,39
2009-08,39
2009-09,43
2009-10,40
2009-11,46
2009-12,43
2010-01,60
2010-02,48
2010-03,47
2010-04,49
2010-05,49
2010-06,51
2010-07,49
2010-08,47
2010-09,48
2010-10,50
2010-11,51
2010-12,48
2011-01,54
2011-02,46
2011-03,44
2011-04,43
2011-05,45
2011-06,49
2011-07,52
2011-08,43
2011-09,45
2011-10,41
2011-11,46
2011-12,45
2012-01,47
2012-02,46
2012-03,42
2012-04,44
2012-05,47
2012-06,51
2012-07,47
2012-08,43
2012-09,42
2012-10,46
2012-11,48
2012-12,47
2013-01,59
2013-02,48
2013-03,48
2013-04,46
2013-05,47
2013-06,54
2013-07,55
2013-08,50
2013-09,51
2013-10,55
2013-11,54
2013-12,55
2014-01,65
2014-02,55
2014-03,54
2014-04,58
2014-05,53
2014-06,55
2014-07,60
2014-08,57
2014-09,60
2014-10,62
2014-11,68
2014-12,76
2015-01,80
2015-02,68
2015-03,65
2015-04,67
2015-05,64
2015-06,73
2015-07,75
2015-08,69
2015-09,73
2015-10,68
2015-11,73
2015-12,82
2016-01,86
2016-02,69
2016-03,70
2016-04,70
2016-05,69
2016-06,74
2016-07,71
2016-08,69
2016-09,65
2016-10,74
2016-11,72
2016-12,80
2017-01,91
2017-02,72
2017-03,71
2017-04,76
2017-05,73
2017-06,85
2017-07,79
2017-08,73
2017-09,73
2017-10,69
2017-11,80
2017-12,83
2018-01,97
2018-02,75
2018-03,73
2018-04,71
2018-05,75
2018-06,89
2018-07,87
2018-08,77
2018-09,73
2018-10,77
2018-11,77
2018-12,86
2019-01,100
2019-02,71
2019-03,75
2019-04,82
2019-05,78
2019-06,89
2019-07,89
2019-08,80
2019-09,75
2019-10,79
2019-11,77
2019-12,84
2020-01,96
2020-02,74
2020-03,54
2020-04,46
2020-05,54
2020-06,61
2020-07,58
2020-08,53
2020-09,59
2020-10,67
2020-11,66
2020-12,68
2021-01,71
2021-02,60
2021-03,63
2021-04,57
2021-05,53
2021-06,68
2021-07,72
2021-08,69
2021-09,64
2021-10,69
2021-11,71
2021-12,73
2022-01,84
2022-02,67
2022-03,72
2022-04,76
2022-05,69
2022-06,71
2022-07,77
2022-08,68
2022-09,70
2022-10,65
2022-11,64
2022-12,68
2023-01,86
2023-02,61
