Categoría: Todas las categorías

Mes,Precios en Colombia: (Colombia)
2004-01,51
2004-02,44
2004-03,38
2004-04,63
2004-05,45
2004-06,46
2004-07,26
2004-08,16
2004-09,15
2004-10,28
2004-11,92
2004-12,100
2005-01,30
2005-02,48
2005-03,42
2005-04,45
2005-05,44
2005-06,51
2005-07,18
2005-08,22
2005-09,22
2005-10,46
2005-11,30
2005-12,0
2006-01,39
2006-02,33
2006-03,29
2006-04,39
2006-05,26
2006-06,22
2006-07,22
2006-08,26
2006-09,37
2006-10,47
2006-11,27
2006-12,34
2007-01,17
2007-02,24
2007-03,20
2007-04,28
2007-05,21
2007-06,29
2007-07,18
2007-08,21
2007-09,24
2007-10,20
2007-11,28
2007-12,23
2008-01,26
2008-02,32
2008-03,31
2008-04,20
2008-05,25
2008-06,25
2008-07,19
2008-08,33
2008-09,24
2008-10,20
2008-11,29
2008-12,29
2009-01,16
2009-02,25
2009-03,29
2009-04,27
2009-05,34
2009-06,34
2009-07,24
2009-08,24
2009-09,27
2009-10,30
2009-11,32
2009-12,34
2010-01,39
2010-02,33
2010-03,31
2010-04,32
2010-05,38
2010-06,38
2010-07,34
2010-08,37
2010-09,41
2010-10,45
2010-11,36
2010-12,29
2011-01,47
2011-02,44
2011-03,40
2011-04,37
2011-05,42
2011-06,41
2011-07,41
2011-08,35
2011-09,37
2011-10,34
2011-11,36
2011-12,32
2012-01,42
2012-02,33
2012-03,34
2012-04,30
2012-05,39
2012-06,38
2012-07,32
2012-08,34
2012-09,36
2012-10,37
2012-11,38
2012-12,34
2013-01,39
2013-02,36
2013-03,36
2013-04,38
2013-05,36
2013-06,41
2013-07,37
2013-08,39
2013-09,40
2013-10,38
2013-11,38
2013-12,37
2014-01,40
2014-02,34
2014-03,35
2014-04,35
2014-05,33
2014-06,38
2014-07,35
2014-08,31
2014-09,35
2014-10,35
2014-11,34
2014-12,40
2015-01,43
2015-02,36
2015-03,34
2015-04,35
2015-05,31
2015-06,36
2015-07,33
2015-08,31
2015-09,31
2015-10,29
2015-11,30
2015-12,31
2016-01,30
2016-02,31
2016-03,29
2016-04,30
2016-05,28
2016-06,31
2016-07,28
2016-08,24
2016-09,26
2016-10,27
2016-11,30
2016-12,26
2017-01,32
2017-02,26
2017-03,26
2017-04,27
2017-05,28
2017-06,27
2017-07,26
2017-08,26
2017-09,23
2017-10,26
2017-11,29
2017-12,25
2018-01,31
2018-02,27
2018-03,25
2018-04,25
2018-05,25
2018-06,24
2018-07,24
2018-08,24
2018-09,24
2018-10,24
2018-11,23
2018-12,25
2019-01,31
2019-02,21
2019-03,21
2019-04,25
2019-05,24
2019-06,25
2019-07,26
2019-08,24
2019-09,24
2019-10,24
2019-11,23
2019-12,24
2020-01,25
2020-02,23
2020-03,19
2020-04,23
2020-05,22
2020-06,23
2020-07,22
2020-08,20
2020-09,24
2020-10,24
2020-11,23
2020-12,23
2021-01,24
2021-02,24
2021-03,23
2021-04,23
2021-05,21
2021-06,26
2021-07,24
2021-08,25
2021-09,23
2021-10,23
2021-11,25
2021-12,24
2022-01,31
2022-02,29
2022-03,27
2022-04,32
2022-05,28
2022-06,28
2022-07,29
2022-08,26
2022-09,28
2022-10,25
2022-11,26
2022-12,26
2023-01,31
2023-02,28
