Categoría: Todas las categorías

Mes,Colombia precios: (Colombia)
2004-01,63
2004-02,42
2004-03,22
2004-04,74
2004-05,0
2004-06,53
2004-07,70
2004-08,70
2004-09,41
2004-10,33
2004-11,46
2004-12,100
2005-01,57
2005-02,59
2005-03,40
2005-04,59
2005-05,38
2005-06,49
2005-07,51
2005-08,22
2005-09,29
2005-10,42
2005-11,39
2005-12,37
2006-01,47
2006-02,49
2006-03,38
2006-04,38
2006-05,46
2006-06,35
2006-07,42
2006-08,38
2006-09,43
2006-10,36
2006-11,30
2006-12,35
2007-01,36
2007-02,31
2007-03,37
2007-04,36
2007-05,37
2007-06,35
2007-07,34
2007-08,29
2007-09,29
2007-10,25
2007-11,34
2007-12,35
2008-01,29
2008-02,33
2008-03,45
2008-04,28
2008-05,26
2008-06,32
2008-07,32
2008-08,33
2008-09,29
2008-10,27
2008-11,34
2008-12,35
2009-01,30
2009-02,32
2009-03,37
2009-04,40
2009-05,46
2009-06,42
2009-07,38
2009-08,39
2009-09,48
2009-10,48
2009-11,58
2009-12,61
2010-01,86
2010-02,63
2010-03,61
2010-04,63
2010-05,71
2010-06,73
2010-07,67
2010-08,66
2010-09,67
2010-10,70
2010-11,66
2010-12,67
2011-01,85
2011-02,73
2011-03,72
2011-04,76
2011-05,78
2011-06,86
2011-07,80
2011-08,69
2011-09,70
2011-10,62
2011-11,61
2011-12,60
2012-01,66
2012-02,59
2012-03,53
2012-04,53
2012-05,63
2012-06,65
2012-07,57
2012-08,54
2012-09,61
2012-10,65
2012-11,61
2012-12,59
2013-01,71
2013-02,64
2013-03,57
2013-04,60
2013-05,61
2013-06,70
2013-07,66
2013-08,66
2013-09,65
2013-10,61
2013-11,61
2013-12,67
2014-01,75
2014-02,57
2014-03,62
2014-04,62
2014-05,58
2014-06,61
2014-07,65
2014-08,61
2014-09,62
2014-10,66
2014-11,67
2014-12,74
2015-01,83
2015-02,64
2015-03,65
2015-04,72
2015-05,60
2015-06,72
2015-07,71
2015-08,59
2015-09,64
2015-10,59
2015-11,62
2015-12,67
2016-01,68
2016-02,60
2016-03,58
2016-04,56
2016-05,55
2016-06,63
2016-07,61
2016-08,51
2016-09,51
2016-10,55
2016-11,58
2016-12,59
2017-01,71
2017-02,57
2017-03,55
2017-04,62
2017-05,58
2017-06,58
2017-07,60
2017-08,57
2017-09,58
2017-10,54
2017-11,60
2017-12,66
2018-01,80
2018-02,58
2018-03,55
2018-04,58
2018-05,55
2018-06,67
2018-07,62
2018-08,56
2018-09,56
2018-10,56
2018-11,58
2018-12,58
2019-01,82
2019-02,47
2019-03,54
2019-04,64
2019-05,59
2019-06,69
2019-07,71
2019-08,57
2019-09,56
2019-10,56
2019-11,51
2019-12,56
2020-01,68
2020-02,48
2020-03,35
2020-04,37
2020-05,38
2020-06,44
2020-07,44
2020-08,39
2020-09,44
2020-10,48
2020-11,47
2020-12,51
2021-01,50
2021-02,44
2021-03,45
2021-04,44
2021-05,40
2021-06,55
2021-07,57
2021-08,51
2021-09,45
2021-10,46
2021-11,51
2021-12,58
2022-01,66
2022-02,56
2022-03,55
2022-04,59
2022-05,55
2022-06,58
2022-07,61
2022-08,49
2022-09,52
2022-10,48
2022-11,47
2022-12,53
2023-01,70
2023-02,53
