Categoría: Todas las categorías

Mes,Política monetaria: (Colombia)
2004-01,0
2004-02,0
2004-03,66
2004-04,74
2004-05,100
2004-06,43
2004-07,35
2004-08,63
2004-09,47
2004-10,68
2004-11,61
2004-12,19
2005-01,24
2005-02,9
2005-03,57
2005-04,46
2005-05,56
2005-06,36
2005-07,15
2005-08,40
2005-09,39
2005-10,45
2005-11,39
2005-12,12
2006-01,6
2006-02,31
2006-03,38
2006-04,45
2006-05,54
2006-06,20
2006-07,18
2006-08,32
2006-09,44
2006-10,29
2006-11,37
2006-12,0
2007-01,9
2007-02,34
2007-03,35
2007-04,42
2007-05,40
2007-06,28
2007-07,15
2007-08,36
2007-09,21
2007-10,25
2007-11,25
2007-12,8
2008-01,2
2008-02,22
2008-03,22
2008-04,28
2008-05,32
2008-06,18
2008-07,9
2008-08,17
2008-09,21
2008-10,24
2008-11,23
2008-12,3
2009-01,4
2009-02,16
2009-03,23
2009-04,20
2009-05,26
2009-06,10
2009-07,10
2009-08,15
2009-09,15
2009-10,19
2009-11,20
2009-12,3
2010-01,3
2010-02,8
2010-03,17
2010-04,21
2010-05,15
2010-06,7
2010-07,7
2010-08,11
2010-09,11
2010-10,14
2010-11,15
2010-12,3
2011-01,4
2011-02,12
2011-03,14
2011-04,10
2011-05,17
2011-06,8
2011-07,5
2011-08,12
2011-09,15
2011-10,17
2011-11,11
2011-12,2
2012-01,4
2012-02,11
2012-03,12
2012-04,10
2012-05,14
2012-06,8
2012-07,5
2012-08,11
2012-09,14
2012-10,12
2012-11,12
2012-12,3
2013-01,2
2013-02,10
2013-03,10
2013-04,12
2013-05,14
2013-06,6
2013-07,4
2013-08,9
2013-09,11
2013-10,11
2013-11,13
2013-12,4
2014-01,3
2014-02,8
2014-03,12
2014-04,9
2014-05,12
2014-06,6
2014-07,5
2014-08,8
2014-09,11
2014-10,9
2014-11,13
2014-12,4
2015-01,2
2015-02,9
2015-03,9
2015-04,11
2015-05,12
2015-06,6
2015-07,4
2015-08,9
2015-09,9
2015-10,10
2015-11,11
2015-12,3
2016-01,2
2016-02,9
2016-03,9
2016-04,11
2016-05,12
2016-06,5
2016-07,5
2016-08,9
2016-09,9
2016-10,9
2016-11,10
2016-12,4
2017-01,6
2017-02,12
2017-03,13
2017-04,10
2017-05,13
2017-06,6
2017-07,5
2017-08,10
2017-09,13
2017-10,11
2017-11,12
2017-12,6
2018-01,6
2018-02,11
2018-03,11
2018-04,13
2018-05,14
2018-06,7
2018-07,7
2018-08,12
2018-09,12
2018-10,13
2018-11,11
2018-12,4
2019-01,6
2019-02,7
2019-03,8
2019-04,12
2019-05,13
2019-06,7
2019-07,7
2019-08,8
2019-09,11
2019-10,10
2019-11,10
2019-12,5
2020-01,8
2020-02,11
2020-03,12
2020-04,17
2020-05,15
2020-06,10
2020-07,7
2020-08,10
2020-09,13
2020-10,13
2020-11,12
2020-12,5
2021-01,7
2021-02,9
2021-03,10
2021-04,12
2021-05,11
2021-06,9
2021-07,7
2021-08,10
2021-09,11
2021-10,10
2021-11,9
2021-12,7
2022-01,11
2022-02,14
2022-03,13
2022-04,13
2022-05,15
2022-06,10
2022-07,10
2022-08,12
2022-09,12
2022-10,12
2022-11,12
2022-12,8
2023-01,12
2023-02,16
