Categoría: Todas las categorías

Mes,TRM: (Colombia)
2004-01,14
2004-02,24
2004-03,24
2004-04,7
2004-05,16
2004-06,7
2004-07,32
2004-08,13
2004-09,26
2004-10,17
2004-11,17
2004-12,24
2005-01,24
2005-02,27
2005-03,19
2005-04,22
2005-05,16
2005-06,22
2005-07,21
2005-08,23
2005-09,15
2005-10,20
2005-11,21
2005-12,26
2006-01,24
2006-02,29
2006-03,13
2006-04,19
2006-05,24
2006-06,22
2006-07,25
2006-08,19
2006-09,17
2006-10,19
2006-11,21
2006-12,27
2007-01,25
2007-02,30
2007-03,27
2007-04,25
2007-05,27
2007-06,29
2007-07,27
2007-08,30
2007-09,30
2007-10,27
2007-11,30
2007-12,24
2008-01,32
2008-02,28
2008-03,30
2008-04,33
2008-05,38
2008-06,43
2008-07,48
2008-08,38
2008-09,48
2008-10,54
2008-11,50
2008-12,56
2009-01,51
2009-02,49
2009-03,45
2009-04,51
2009-05,48
2009-06,51
2009-07,54
2009-08,47
2009-09,44
2009-10,49
2009-11,43
2009-12,42
2010-01,47
2010-02,44
2010-03,45
2010-04,42
2010-05,42
2010-06,44
2010-07,50
2010-08,51
2010-09,43
2010-10,46
2010-11,50
2010-12,62
2011-01,30
2011-02,28
2011-03,25
2011-04,25
2011-05,27
2011-06,27
2011-07,26
2011-08,27
2011-09,28
2011-10,30
2011-11,26
2011-12,29
2012-01,29
2012-02,31
2012-03,29
2012-04,28
2012-05,30
2012-06,30
2012-07,29
2012-08,29
2012-09,28
2012-10,28
2012-11,30
2012-12,28
2013-01,33
2013-02,30
2013-03,28
2013-04,32
2013-05,30
2013-06,33
2013-07,35
2013-08,32
2013-09,34
2013-10,33
2013-11,31
2013-12,34
2014-01,39
2014-02,38
2014-03,36
2014-04,37
2014-05,33
2014-06,32
2014-07,40
2014-08,37
2014-09,42
2014-10,42
2014-11,43
2014-12,71
2015-01,61
2015-02,56
2015-03,58
2015-04,55
2015-05,54
2015-06,62
2015-07,64
2015-08,63
2015-09,64
2015-10,62
2015-11,61
2015-12,63
2016-01,53
2016-02,55
2016-03,55
2016-04,56
2016-05,48
2016-06,56
2016-07,50
2016-08,49
2016-09,56
2016-10,48
2016-11,63
2016-12,60
2017-01,52
2017-02,52
2017-03,48
2017-04,49
2017-05,53
2017-06,59
2017-07,53
2017-08,52
2017-09,50
2017-10,46
2017-11,53
2017-12,53
2018-01,68
2018-02,63
2018-03,50
2018-04,57
2018-05,55
2018-06,54
2018-07,52
2018-08,52
2018-09,54
2018-10,60
2018-11,57
2018-12,59
2019-01,61
2019-02,54
2019-03,49
2019-04,55
2019-05,59
2019-06,59
2019-07,55
2019-08,68
2019-09,61
2019-10,62
2019-11,55
2019-12,63
2020-01,56
2020-02,55
2020-03,70
2020-04,42
2020-05,41
2020-06,46
2020-07,47
2020-08,53
2020-09,48
2020-10,45
2020-11,43
2020-12,51
2021-01,45
2021-02,42
2021-03,40
2021-04,40
2021-05,45
2021-06,45
2021-07,44
2021-08,46
2021-09,48
2021-10,46
2021-11,48
2021-12,58
2022-01,50
2022-02,44
2022-03,54
2022-04,56
2022-05,60
2022-06,94
2022-07,100
2022-08,82
2022-09,70
2022-10,83
2022-11,85
2022-12,62
2023-01,72
2023-02,72
