Categoría: Todas las categorías

Mes,IPC: (Colombia)
2004-01,31
2004-02,37
2004-03,36
2004-04,20
2004-05,25
2004-06,0
2004-07,21
2004-08,24
2004-09,26
2004-10,38
2004-11,26
2004-12,26
2005-01,69
2005-02,47
2005-03,23
2005-04,20
2005-05,26
2005-06,22
2005-07,13
2005-08,25
2005-09,22
2005-10,22
2005-11,15
2005-12,19
2006-01,55
2006-02,41
2006-03,28
2006-04,25
2006-05,25
2006-06,17
2006-07,20
2006-08,25
2006-09,22
2006-10,17
2006-11,18
2006-12,19
2007-01,57
2007-02,27
2007-03,19
2007-04,20
2007-05,18
2007-06,18
2007-07,14
2007-08,23
2007-09,18
2007-10,18
2007-11,19
2007-12,18
2008-01,53
2008-02,28
2008-03,19
2008-04,18
2008-05,20
2008-06,18
2008-07,18
2008-08,19
2008-09,18
2008-10,16
2008-11,16
2008-12,21
2009-01,48
2009-02,27
2009-03,20
2009-04,19
2009-05,22
2009-06,19
2009-07,16
2009-08,17
2009-09,20
2009-10,20
2009-11,20
2009-12,20
2010-01,66
2010-02,29
2010-03,18
2010-04,20
2010-05,18
2010-06,18
2010-07,17
2010-08,19
2010-09,17
2010-10,19
2010-11,19
2010-12,22
2011-01,40
2011-02,19
2011-03,15
2011-04,12
2011-05,12
2011-06,11
2011-07,10
2011-08,13
2011-09,14
2011-10,15
2011-11,14
2011-12,16
2012-01,49
2012-02,22
2012-03,17
2012-04,14
2012-05,16
2012-06,15
2012-07,14
2012-08,16
2012-09,14
2012-10,13
2012-11,14
2012-12,13
2013-01,50
2013-02,23
2013-03,16
2013-04,16
2013-05,14
2013-06,12
2013-07,11
2013-08,13
2013-09,13
2013-10,12
2013-11,13
2013-12,15
2014-01,38
2014-02,20
2014-03,14
2014-04,13
2014-05,12
2014-06,11
2014-07,12
2014-08,14
2014-09,13
2014-10,13
2014-11,14
2014-12,17
2015-01,48
2015-02,23
2015-03,18
2015-04,15
2015-05,13
2015-06,12
2015-07,11
2015-08,14
2015-09,14
2015-10,13
2015-11,14
2015-12,22
2016-01,56
2016-02,22
2016-03,15
2016-04,15
2016-05,14
2016-06,14
2016-07,13
2016-08,15
2016-09,15
2016-10,15
2016-11,17
2016-12,22
2017-01,62
2017-02,28
2017-03,19
2017-04,16
2017-05,18
2017-06,16
2017-07,12
2017-08,15
2017-09,16
2017-10,16
2017-11,16
2017-12,24
2018-01,73
2018-02,28
2018-03,19
2018-04,19
2018-05,17
2018-06,13
2018-07,14
2018-08,14
2018-09,15
2018-10,18
2018-11,19
2018-12,29
2019-01,74
2019-02,31
2019-03,21
2019-04,19
2019-05,18
2019-06,15
2019-07,14
2019-08,16
2019-09,16
2019-10,15
2019-11,15
2019-12,30
2020-01,57
2020-02,24
2020-03,14
2020-04,9
2020-05,10
2020-06,10
2020-07,10
2020-08,11
2020-09,12
2020-10,10
2020-11,11
2020-12,20
2021-01,42
2021-02,16
2021-03,13
2021-04,11
2021-05,10
2021-06,9
2021-07,10
2021-08,11
2021-09,12
2021-10,11
2021-11,14
2021-12,31
2022-01,66
2022-02,28
2022-03,21
2022-04,19
2022-05,17
2022-06,14
2022-07,14
2022-08,17
2022-09,17
2022-10,19
2022-11,24
2022-12,45
2023-01,100
2023-02,40
