Categoría: Todas las categorías

Mes,Exportaciones: (Colombia)
2004-01,34
2004-02,43
2004-03,100
2004-04,56
2004-05,65
2004-06,52
2004-07,25
2004-08,46
2004-09,55
2004-10,49
2004-11,45
2004-12,29
2005-01,10
2005-02,30
2005-03,48
2005-04,59
2005-05,53
2005-06,22
2005-07,16
2005-08,38
2005-09,39
2005-10,37
2005-11,34
2005-12,20
2006-01,16
2006-02,34
2006-03,38
2006-04,28
2006-05,36
2006-06,22
2006-07,10
2006-08,22
2006-09,24
2006-10,27
2006-11,32
2006-12,3
2007-01,11
2007-02,22
2007-03,21
2007-04,16
2007-05,23
2007-06,14
2007-07,13
2007-08,20
2007-09,22
2007-10,25
2007-11,18
2007-12,3
2008-01,9
2008-02,18
2008-03,19
2008-04,17
2008-05,20
2008-06,13
2008-07,8
2008-08,14
2008-09,16
2008-10,16
2008-11,19
2008-12,4
2009-01,5
2009-02,13
2009-03,16
2009-04,14
2009-05,12
2009-06,9
2009-07,7
2009-08,12
2009-09,13
2009-10,14
2009-11,12
2009-12,3
2010-01,4
2010-02,11
2010-03,9
2010-04,9
2010-05,14
2010-06,7
2010-07,4
2010-08,9
2010-09,13
2010-10,10
2010-11,11
2010-12,3
2011-01,3
2011-02,7
2011-03,8
2011-04,6
2011-05,9
2011-06,5
2011-07,3
2011-08,8
2011-09,8
2011-10,8
2011-11,8
2011-12,2
2012-01,3
2012-02,7
2012-03,6
2012-04,7
2012-05,9
2012-06,4
2012-07,3
2012-08,7
2012-09,7
2012-10,8
2012-11,7
2012-12,2
2013-01,2
2013-02,6
2013-03,6
2013-04,7
2013-05,7
2013-06,4
2013-07,3
2013-08,5
2013-09,6
2013-10,7
2013-11,6
2013-12,2
2014-01,2
2014-02,5
2014-03,6
2014-04,6
2014-05,6
2014-06,3
2014-07,3
2014-08,5
2014-09,5
2014-10,6
2014-11,6
2014-12,2
2015-01,2
2015-02,5
2015-03,6
2015-04,5
2015-05,7
2015-06,3
2015-07,3
2015-08,5
2015-09,6
2015-10,5
2015-11,5
2015-12,2
2016-01,2
2016-02,5
2016-03,6
2016-04,6
2016-05,6
2016-06,3
2016-07,3
2016-08,5
2016-09,5
2016-10,5
2016-11,5
2016-12,2
2017-01,2
2017-02,5
2017-03,6
2017-04,5
2017-05,6
2017-06,3
2017-07,3
2017-08,5
2017-09,5
2017-10,5
2017-11,6
2017-12,2
2018-01,1
2018-02,4
2018-03,5
2018-04,5
2018-05,6
2018-06,3
2018-07,3
2018-08,4
2018-09,5
2018-10,5
2018-11,5
2018-12,2
2019-01,1
2019-02,5
2019-03,5
2019-04,5
2019-05,5
2019-06,3
2019-07,3
2019-08,4
2019-09,4
2019-10,4
2019-11,4
2019-12,2
2020-01,2
2020-02,4
2020-03,5
2020-04,4
2020-05,5
2020-06,3
2020-07,3
2020-08,4
2020-09,4
2020-10,4
2020-11,3
2020-12,1
2021-01,1
2021-02,3
2021-03,3
2021-04,4
2021-05,3
2021-06,2
2021-07,2
2021-08,4
2021-09,4
2021-10,4
2021-11,3
2021-12,1
2022-01,1
2022-02,4
2022-03,4
2022-04,4
2022-05,4
2022-06,3
2022-07,2
2022-08,4
2022-09,4
2022-10,4
2022-11,4
2022-12,1
2023-01,1
2023-02,2
