Categoría: Todas las categorías

Mes,Fertilizante: (Colombia)
2004-01,0
2004-02,65
2004-03,73
2004-04,90
2004-05,100
2004-06,79
2004-07,52
2004-08,86
2004-09,82
2004-10,86
2004-11,77
2004-12,0
2005-01,41
2005-02,41
2005-03,95
2005-04,68
2005-05,57
2005-06,66
2005-07,66
2005-08,100
2005-09,74
2005-10,73
2005-11,47
2005-12,48
2006-01,60
2006-02,69
2006-03,70
2006-04,50
2006-05,38
2006-06,57
2006-07,47
2006-08,55
2006-09,48
2006-10,50
2006-11,49
2006-12,27
2007-01,28
2007-02,27
2007-03,53
2007-04,35
2007-05,52
2007-06,38
2007-07,55
2007-08,39
2007-09,36
2007-10,49
2007-11,51
2007-12,29
2008-01,24
2008-02,35
2008-03,45
2008-04,45
2008-05,41
2008-06,43
2008-07,49
2008-08,51
2008-09,54
2008-10,55
2008-11,53
2008-12,35
2009-01,26
2009-02,48
2009-03,60
2009-04,49
2009-05,50
2009-06,46
2009-07,45
2009-08,47
2009-09,48
2009-10,46
2009-11,55
2009-12,35
2010-01,38
2010-02,41
2010-03,44
2010-04,46
2010-05,42
2010-06,47
2010-07,36
2010-08,41
2010-09,27
2010-10,41
2010-11,42
2010-12,29
2011-01,36
2011-02,42
2011-03,48
2011-04,44
2011-05,47
2011-06,35
2011-07,33
2011-08,40
2011-09,36
2011-10,38
2011-11,36
2011-12,25
2012-01,34
2012-02,34
2012-03,40
2012-04,44
2012-05,43
2012-06,37
2012-07,37
2012-08,37
2012-09,41
2012-10,40
2012-11,35
2012-12,29
2013-01,29
2013-02,37
2013-03,35
2013-04,39
2013-05,38
2013-06,32
2013-07,35
2013-08,38
2013-09,36
2013-10,32
2013-11,37
2013-12,24
2014-01,27
2014-02,33
2014-03,34
2014-04,35
2014-05,32
2014-06,32
2014-07,37
2014-08,35
2014-09,39
2014-10,35
2014-11,34
2014-12,26
2015-01,33
2015-02,34
2015-03,30
2015-04,34
2015-05,36
2015-06,36
2015-07,37
2015-08,35
2015-09,39
2015-10,32
2015-11,34
2015-12,28
2016-01,33
2016-02,36
2016-03,37
2016-04,40
2016-05,39
2016-06,38
2016-07,38
2016-08,40
2016-09,35
2016-10,40
2016-11,39
2016-12,39
2017-01,48
2017-02,47
2017-03,47
2017-04,45
2017-05,46
2017-06,53
2017-07,55
2017-08,46
2017-09,43
2017-10,47
2017-11,45
2017-12,41
2018-01,44
2018-02,47
2018-03,44
2018-04,48
2018-05,50
2018-06,42
2018-07,45
2018-08,45
2018-09,44
2018-10,50
2018-11,46
2018-12,39
2019-01,44
2019-02,37
2019-03,41
2019-04,47
2019-05,51
2019-06,45
2019-07,47
2019-08,49
2019-09,46
2019-10,42
2019-11,45
2019-12,45
2020-01,60
2020-02,46
2020-03,44
2020-04,54
2020-05,67
2020-06,63
2020-07,54
2020-08,63
2020-09,57
2020-10,57
2020-11,51
2020-12,36
2021-01,43
2021-02,52
2021-03,56
2021-04,55
2021-05,53
2021-06,50
2021-07,50
2021-08,61
2021-09,61
2021-10,57
2021-11,61
2021-12,43
2022-01,68
2022-02,73
2022-03,83
2022-04,85
2022-05,78
2022-06,70
2022-07,75
2022-08,70
2022-09,78
2022-10,73
2022-11,67
2022-12,58
2023-01,73
2023-02,68
