Categoría: Todas las categorías

Mes,Inflación: (Colombia)
2004-01,56
2004-02,76
2004-03,75
2004-04,66
2004-05,80
2004-06,37
2004-07,44
2004-08,84
2004-09,55
2004-10,77
2004-11,63
2004-12,26
2005-01,44
2005-02,69
2005-03,59
2005-04,78
2005-05,64
2005-06,45
2005-07,28
2005-08,72
2005-09,52
2005-10,58
2005-11,47
2005-12,26
2006-01,42
2006-02,55
2006-03,100
2006-04,79
2006-05,80
2006-06,26
2006-07,23
2006-08,46
2006-09,40
2006-10,37
2006-11,35
2006-12,16
2007-01,35
2007-02,40
2007-03,47
2007-04,40
2007-05,47
2007-06,28
2007-07,20
2007-08,34
2007-09,39
2007-10,32
2007-11,32
2007-12,12
2008-01,28
2008-02,43
2008-03,35
2008-04,37
2008-05,36
2008-06,24
2008-07,22
2008-08,34
2008-09,30
2008-10,28
2008-11,27
2008-12,12
2009-01,18
2009-02,30
2009-03,23
2009-04,22
2009-05,25
2009-06,20
2009-07,14
2009-08,25
2009-09,29
2009-10,33
2009-11,24
2009-12,10
2010-01,23
2010-02,25
2010-03,22
2010-04,21
2010-05,25
2010-06,16
2010-07,11
2010-08,21
2010-09,21
2010-10,18
2010-11,21
2010-12,8
2011-01,13
2011-02,19
2011-03,18
2011-04,16
2011-05,18
2011-06,11
2011-07,9
2011-08,16
2011-09,15
2011-10,15
2011-11,14
2011-12,8
2012-01,13
2012-02,17
2012-03,16
2012-04,14
2012-05,16
2012-06,10
2012-07,9
2012-08,17
2012-09,14
2012-10,13
2012-11,13
2012-12,6
2013-01,13
2013-02,17
2013-03,15
2013-04,15
2013-05,14
2013-06,8
2013-07,9
2013-08,13
2013-09,13
2013-10,13
2013-11,13
2013-12,7
2014-01,11
2014-02,16
2014-03,14
2014-04,12
2014-05,13
2014-06,9
2014-07,8
2014-08,12
2014-09,13
2014-10,13
2014-11,11
2014-12,7
2015-01,11
2015-02,14
2015-03,13
2015-04,13
2015-05,13
2015-06,9
2015-07,8
2015-08,14
2015-09,15
2015-10,14
2015-11,13
2015-12,11
2016-01,17
2016-02,18
2016-03,15
2016-04,16
2016-05,17
2016-06,9
2016-07,9
2016-08,15
2016-09,14
2016-10,13
2016-11,14
2016-12,11
2017-01,14
2017-02,14
2017-03,15
2017-04,12
2017-05,16
2017-06,9
2017-07,9
2017-08,13
2017-09,12
2017-10,13
2017-11,14
2017-12,10
2018-01,15
2018-02,16
2018-03,13
2018-04,15
2018-05,16
2018-06,8
2018-07,8
2018-08,14
2018-09,13
2018-10,12
2018-11,12
2018-12,9
2019-01,14
2019-02,15
2019-03,13
2019-04,12
2019-05,12
2019-06,8
2019-07,8
2019-08,12
2019-09,12
2019-10,11
2019-11,11
2019-12,10
2020-01,11
2020-02,11
2020-03,10
2020-04,11
2020-05,12
2020-06,9
2020-07,7
2020-08,11
2020-09,11
2020-10,9
2020-11,9
2020-12,8
2021-01,9
2021-02,10
2021-03,10
2021-04,10
2021-05,10
2021-06,7
2021-07,7
2021-08,10
2021-09,10
2021-10,10
2021-11,12
2021-12,13
2022-01,17
2022-02,19
2022-03,19
2022-04,20
2022-05,23
2022-06,17
2022-07,20
2022-08,19
2022-09,19
2022-10,21
2022-11,21
2022-12,18
2023-01,28
2023-02,22
