Categoría: Todas las categorías

Mes,Escasez: (Colombia)
2004-01,100
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,50
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,34
2005-07,0
2005-08,28
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,43
2006-03,63
2006-04,17
2006-05,17
2006-06,0
2006-07,0
2006-08,21
2006-09,14
2006-10,31
2006-11,0
2006-12,0
2007-01,13
2007-02,40
2007-03,40
2007-04,17
2007-05,15
2007-06,0
2007-07,6
2007-08,26
2007-09,6
2007-10,7
2007-11,5
2007-12,0
2008-01,6
2008-02,30
2008-03,29
2008-04,11
2008-05,21
2008-06,15
2008-07,10
2008-08,21
2008-09,13
2008-10,17
2008-11,14
2008-12,8
2009-01,15
2009-02,21
2009-03,14
2009-04,13
2009-05,0
2009-06,9
2009-07,13
2009-08,17
2009-09,12
2009-10,15
2009-11,10
2009-12,0
2010-01,16
2010-02,26
2010-03,19
2010-04,23
2010-05,18
2010-06,6
2010-07,4
2010-08,18
2010-09,11
2010-10,11
2010-11,10
2010-12,0
2011-01,2
2011-02,10
2011-03,17
2011-04,12
2011-05,16
2011-06,9
2011-07,9
2011-08,14
2011-09,13
2011-10,16
2011-11,15
2011-12,12
2012-01,13
2012-02,22
2012-03,18
2012-04,17
2012-05,15
2012-06,13
2012-07,13
2012-08,20
2012-09,20
2012-10,20
2012-11,14
2012-12,7
2013-01,7
2013-02,19
2013-03,21
2013-04,19
2013-05,15
2013-06,13
2013-07,12
2013-08,26
2013-09,21
2013-10,17
2013-11,14
2013-12,4
2014-01,8
2014-02,24
2014-03,18
2014-04,25
2014-05,12
2014-06,9
2014-07,17
2014-08,30
2014-09,23
2014-10,18
2014-11,18
2014-12,8
2015-01,16
2015-02,28
2015-03,24
2015-04,18
2015-05,14
2015-06,14
2015-07,17
2015-08,22
2015-09,25
2015-10,23
2015-11,15
2015-12,9
2016-01,13
2016-02,30
2016-03,26
2016-04,22
2016-05,16
2016-06,13
2016-07,14
2016-08,13
2016-09,20
2016-10,18
2016-11,13
2016-12,9
2017-01,9
2017-02,21
2017-03,20
2017-04,17
2017-05,17
2017-06,7
2017-07,11
2017-08,20
2017-09,15
2017-10,16
2017-11,13
2017-12,8
2018-01,9
2018-02,23
2018-03,23
2018-04,18
2018-05,19
2018-06,11
2018-07,12
2018-08,22
2018-09,22
2018-10,19
2018-11,15
2018-12,8
2019-01,12
2019-02,22
2019-03,24
2019-04,15
2019-05,24
2019-06,13
2019-07,14
2019-08,22
2019-09,22
2019-10,20
2019-11,14
2019-12,9
2020-01,9
2020-02,23
2020-03,33
2020-04,26
2020-05,26
2020-06,20
2020-07,19
2020-08,22
2020-09,21
2020-10,19
2020-11,15
2020-12,9
2021-01,9
2021-02,28
2021-03,30
2021-04,24
2021-05,28
2021-06,21
2021-07,17
2021-08,24
2021-09,28
2021-10,23
2021-11,38
2021-12,24
2022-01,15
2022-02,37
2022-03,39
2022-04,32
2022-05,29
2022-06,18
2022-07,23
2022-08,27
2022-09,29
2022-10,22
2022-11,18
2022-12,9
2023-01,14
2023-02,22
