Categoría: Todas las categorías

Mes,Dólar estadounidense: (Colombia)
2004-01,6
2004-02,6
2004-03,5
2004-04,3
2004-05,4
2004-06,4
2004-07,3
2004-08,4
2004-09,5
2004-10,4
2004-11,6
2004-12,4
2005-01,4
2005-02,4
2005-03,3
2005-04,4
2005-05,4
2005-06,4
2005-07,5
2005-08,5
2005-09,4
2005-10,4
2005-11,3
2005-12,3
2006-01,3
2006-02,3
2006-03,3
2006-04,4
2006-05,4
2006-06,4
2006-07,4
2006-08,4
2006-09,4
2006-10,4
2006-11,4
2006-12,5
2007-01,5
2007-02,5
2007-03,5
2007-04,4
2007-05,7
2007-06,7
2007-07,5
2007-08,6
2007-09,6
2007-10,5
2007-11,5
2007-12,5
2008-01,6
2008-02,5
2008-03,6
2008-04,6
2008-05,5
2008-06,7
2008-07,8
2008-08,5
2008-09,7
2008-10,7
2008-11,6
2008-12,6
2009-01,6
2009-02,7
2009-03,7
2009-04,5
2009-05,5
2009-06,7
2009-07,7
2009-08,6
2009-09,6
2009-10,7
2009-11,6
2009-12,6
2010-01,7
2010-02,5
2010-03,5
2010-04,5
2010-05,6
2010-06,5
2010-07,5
2010-08,6
2010-09,6
2010-10,6
2010-11,6
2010-12,6
2011-01,6
2011-02,5
2011-03,5
2011-04,5
2011-05,5
2011-06,5
2011-07,5
2011-08,5
2011-09,5
2011-10,6
2011-11,6
2011-12,6
2012-01,6
2012-02,6
2012-03,5
2012-04,5
2012-05,6
2012-06,6
2012-07,6
2012-08,5
2012-09,5
2012-10,5
2012-11,5
2012-12,6
2013-01,6
2013-02,6
2013-03,5
2013-04,5
2013-05,5
2013-06,7
2013-07,6
2013-08,6
2013-09,6
2013-10,6
2013-11,6
2013-12,6
2014-01,7
2014-02,7
2014-03,7
2014-04,6
2014-05,6
2014-06,6
2014-07,7
2014-08,6
2014-09,7
2014-10,7
2014-11,8
2014-12,14
2015-01,13
2015-02,11
2015-03,14
2015-04,13
2015-05,13
2015-06,13
2015-07,16
2015-08,19
2015-09,18
2015-10,16
2015-11,15
2015-12,19
2016-01,16
2016-02,14
2016-03,15
2016-04,16
2016-05,15
2016-06,16
2016-07,13
2016-08,14
2016-09,13
2016-10,13
2016-11,17
2016-12,16
2017-01,16
2017-02,14
2017-03,12
2017-04,14
2017-05,14
2017-06,16
2017-07,15
2017-08,13
2017-09,12
2017-10,12
2017-11,13
2017-12,15
2018-01,20
2018-02,16
2018-03,15
2018-04,18
2018-05,15
2018-06,17
2018-07,16
2018-08,17
2018-09,17
2018-10,17
2018-11,20
2018-12,20
2019-01,22
2019-02,17
2019-03,16
2019-04,18
2019-05,20
2019-06,22
2019-07,20
2019-08,27
2019-09,22
2019-10,23
2019-11,24
2019-12,28
2020-01,29
2020-02,24
2020-03,40
2020-04,28
2020-05,27
2020-06,32
2020-07,28
2020-08,26
2020-09,27
2020-10,28
2020-11,37
2020-12,44
2021-01,42
2021-02,32
2021-03,32
2021-04,32
2021-05,34
2021-06,38
2021-07,40
2021-08,43
2021-09,39
2021-10,38
2021-11,42
2021-12,47
2022-01,54
2022-02,43
2022-03,49
2022-04,49
2022-05,50
2022-06,79
2022-07,100
2022-08,73
2022-09,58
2022-10,80
2022-11,92
2022-12,70
2023-01,87
2023-02,72
